first_name,first_name_len_1,first_name_len_2,last_name,last_name_len_1,last_name_len_2,father,father_len_1,father_len_2,gender,match
0.5,4,6,0.46153846153846156,6,7,1.0,10,10,0,0
0.5,7,7,1.0,6,6,0.5454545454545454,7,4,0,0
0.4,4,6,0.4166666666666667,8,4,1.0,5,5,1,0
0.5,6,4,1.0,8,8,0.6153846153846154,7,6,1,0
0.5,6,4,1.0,8,8,0.5454545454545454,7,4,1,0
0.8571428571428571,3,4,0.45454545454545453,7,4,0.38461538461538464,3,10,0,0
0.9375,8,8,0.6,5,5,0.6,5,5,1,0
0.8,6,4,0.5,4,4,0.5,5,3,1,0
0.45454545454545453,6,5,0.5454545454545454,5,6,1.0,6,6,1,0
0.5833333333333334,5,7,0.42857142857142855,2,5,0.4,3,7,1,0
0.75,4,4,0.625,4,4,0.5,5,3,0,0
0.5,4,6,0.4444444444444444,6,3,0.6923076923076923,7,6,0,0
0.4,4,6,0.4,4,6,0.9090909090909091,10,12,0,0
0.46153846153846156,5,8,0.18181818181818182,9,2,0.6666666666666666,8,7,1,0
0.5384615384615384,5,8,0.6428571428571429,7,7,0.45454545454545453,4,7,0,0
0.25,2,6,0.5,3,5,0.4666666666666667,8,7,1,0
0.6,6,9,0.5,7,5,0.4166666666666667,4,8,1,0
0.5,6,6,0.5384615384615384,8,5,0.36363636363636365,8,3,1,0
0.4166666666666667,5,7,0.9,10,10,0.5454545454545454,6,5,1,0
0.625,4,4,0.6153846153846154,5,8,0.36363636363636365,7,4,0,0
0.5294117647058824,7,10,0.6,5,5,0.6363636363636364,5,6,0,0
0.5,4,8,0.5333333333333333,7,8,0.5333333333333333,8,7,0,0
0.5454545454545454,5,6,0.5,8,4,0.5,4,6,1,0
0.6428571428571429,6,8,0.5384615384615384,7,6,0.42857142857142855,5,9,1,0
0.6666666666666666,9,6,0.625,4,4,0.4,4,6,1,0
0.75,4,4,0.4166666666666667,5,7,0.4,4,6,0,0
0.3333333333333333,4,8,0.5,9,5,0.6,5,5,1,0
0.42857142857142855,8,6,0.6153846153846154,6,7,0.4166666666666667,9,3,0,0
1.0,4,4,0.5454545454545454,5,6,0.45454545454545453,4,7,1,0
1.0,8,8,0.4,3,7,0.5,6,6,1,0
0.42857142857142855,2,5,0.5714285714285714,4,3,0.8333333333333334,5,7,0,0
0.5454545454545454,5,6,0.3076923076923077,9,4,1.0,5,5,1,0
0.3333333333333333,4,8,1.0,2,2,0.5,5,3,1,0
0.45454545454545453,5,6,1.0,5,5,0.5,5,9,1,0
0.25,6,2,0.5,5,7,1.0,6,6,0,0
1.0,6,6,0.42857142857142855,9,5,0.5454545454545454,6,5,1,0
1.0,7,7,0.4666666666666667,9,6,0.5,5,5,1,0
0.3333333333333333,4,8,0.5833333333333334,7,5,1.0,4,4,0,0
0.5,4,6,0.4666666666666667,10,5,1.0,9,9,0,0
1.0,7,7,0.46153846153846156,6,7,0.4166666666666667,5,7,1,0
0.6153846153846154,5,8,0.5,3,7,1.0,4,4,1,0
1.0,4,4,0.6666666666666666,4,5,0.6,4,6,1,0
0.5,3,7,1.0,10,10,0.4,6,4,1,0
0.7272727272727273,5,6,0.18181818181818182,2,9,1.0,4,4,1,0
1.0,5,5,0.2222222222222222,7,2,0.6,7,8,1,0
1.0,6,6,0.4444444444444444,6,3,0.6923076923076923,6,7,1,0
0.3,7,3,1.0,5,5,0.5384615384615384,5,8,0,0
0.5833333333333334,6,6,1.0,5,5,0.7272727272727273,5,6,1,0
1.0,4,4,0.6153846153846154,6,7,0.45454545454545453,7,4,1,0
1.0,3,3,0.5,9,7,0.3333333333333333,7,2,1,0
1.0,6,6,0.25,2,6,0.6666666666666666,4,5,1,0
0.38461538461538464,4,9,1.0,8,8,0.5,3,5,0,0
0.7777777777777778,10,8,0.8888888888888888,10,8,0.5,5,5,0,0
0.5,4,8,1.0,5,5,0.4,7,3,1,0
0.3333333333333333,2,7,0.5,5,7,1.0,4,4,1,0
1.0,10,10,0.4,10,5,0.5555555555555556,5,4,1,0
0.9166666666666666,6,6,0.2727272727272727,8,3,0.46153846153846156,9,4,1,0
1.0,3,3,0.3333333333333333,3,9,0.2857142857142857,5,2,0,0
1.0,6,6,0.5,5,7,0.5,4,8,1,0
0.38461538461538464,8,5,1.0,5,5,0.8,7,8,0,0
0.6363636363636364,6,5,0.5333333333333333,9,6,1.0,8,8,1,0
0.5555555555555556,5,4,0.6153846153846154,5,8,1.0,6,6,1,0
0.5,7,7,0.9285714285714286,7,7,0.3,2,8,1,0
0.5384615384615384,7,6,0.7142857142857143,7,7,1.0,5,5,1,0
0.6,6,4,0.6153846153846154,7,6,1.0,6,6,1,0
0.4444444444444444,3,6,1.0,7,7,0.5714285714285714,8,6,1,0
0.4444444444444444,3,6,0.3333333333333333,6,3,1.0,6,6,0,0
0.4166666666666667,4,8,0.4666666666666667,10,5,1.0,9,9,1,0
0.7,5,5,1.0,6,6,0.5454545454545454,6,5,0,0
0.8,4,6,0.5,3,5,1.0,7,7,1,0
0.4,6,4,0.9,9,11,0.7777777777777778,5,4,1,0
